Field Name, Offset, Size, Type, Levels, Survey SubSection, Description, Derived Field
"_age65yr","1631","1","categorical","5","calculated race variables","reported age in two age groups calculated variable","0"
"_age_g","1632","1","categorical","8","calculated race variables","imputed age in six groups","0"
"_ageg5yr","1629","2","categorical","16","calculated race variables","reported age in five-year age categories calculated variable","0"
"_aidtst3","1681","1","categorical","6","calculated variables","ever been tested for hiv calculated variable","0"
"_alteth2","1605","1","categorical","6","oral health","adults aged 65+ who have had all their natural teeth extracted","0"
"_asthms1","1602","1","categorical","6","calculated variables","computed asthma status","0"
"_bmi5","1644","4","integer","","calculated race variables","computed body mass index","0"
"_bmi5cat","1648","1","categorical","7","calculated race variables","computed body mass index categories","0"
"_casthm1","1601","1","categorical","5","calculated variables","current asthma calculated variable","0"
"_chldcnt","1650","1","categorical","9","calculated race variables","computed number of children in household","0"
"_clcpm01","1253","3","numeric","0","child weighting variables","child combined land-line and cell-phone first margin (age-gender)","1"
"_clcpm02","1256","3","numeric","0","child weighting variables","child combined land-line and cell-phone second margin (race/ethnicity)","1"
"_clcpm03","1259","3","numeric","0","child weighting variables","child combined land-line and cell-phone third margin (gender-race/ethnicity)","1"
"_clcpm04","1262","3","numeric","0","child weighting variables","child combined land-line and cell-phone fourth margin (age-race/ethnicity)","1"
"_clcpm05","1265","3","numeric","0","child weighting variables","child combined land-line and cell-phone fifth margin (telephone source)","1"
"_cllcpwt","1268","10","numeric","0","child weighting variables","final child weight: land-line and cell-phone data","1"
"_cnrace","1627","1","categorical","8","calculated race variables","computed number of census race categories chosen","0"
"_cnracec","1628","1","categorical","6","calculated race variables","computed number of census race categories chosen, collapsed","0"
"_crace","1140","2","categorical","12","child demographic variables","child non-hispanic race including multiracial","0"
"_denstr2","5","1","categorical","6","record identification","household density stratum code","0"
"_denvst2","1606","1","categorical","6","oral health","adults who have visited a dentist, dental hygenist or dental clinic within the past year","0"
"_drdxar1","1603","1","categorical","5","calculated variables","respondents diagnosed with arthritis","0"
"_drnkdy4","1660","4","integer","","calculated variables","computed number of drinks of alcohol beverages per day","0"
"_drnkmo4","1664","4","integer","","calculated variables","computed total number drinks a month","0"
"_dualcor","1403","10","numeric","0","child weighting variables","dual phone use correction factor","1"
"_dualuse","1402","1","categorical","8","child weighting variables","dual phone use categories","0"
"_educag","1651","1","categorical","7","calculated race variables","computed level of education completed categories","0"
"_exteth2","1604","1","categorical","6","oral health","risk factor for having had permanent teeth extracted","0"
"_flshot5","1671","1","categorical","6","calculated variables","flu shot calculated variable","0"
"_geostr","3","2","numeric","0","record identification","geographic stratum code","1"
"_hcvu651","1598","1","categorical","5","calculated variables","respondents aged 18-64 with health care coverage","0"
"_impage","943","2","integer","","questionnaire language","age value used to determine age groups","0"
"_impnph","947","1","categorical","10","questionnaire language","imputed number of phones","0"
"_imprace","945","2","categorical","9","questionnaire language","imputed race/ethnicity value","0"
"_incomg","1652","1","categorical","8","calculated race variables","computed income categories","0"
"_llcpm01","1413","3","numeric","0","child weighting variables","combined land-line and cell-phone first margin (age-gender)","1"
"_llcpm02","1416","3","numeric","0","child weighting variables","combined land-line and cell-phone second margin (race/ethnicity)","1"
"_llcpm03","1419","3","numeric","0","child weighting variables","combined land-line and cell-phone third margin (education)","1"
"_llcpm04","1422","3","numeric","0","child weighting variables","combined land-line and cell-phone fourth margin (marital status)","1"
"_llcpm05","1425","3","numeric","0","child weighting variables","combined land-line and cell-phone fifth margin (home ownership)","1"
"_llcpm06","1428","3","numeric","0","child weighting variables","combined land-line and cell-phone sixth margin (gender-race/ethnicity)","1"
"_llcpm07","1431","3","numeric","0","child weighting variables","combined land-line and cell-phone seventh margin (age-race/ethnicity)","1"
"_llcpm08","1434","3","numeric","0","child weighting variables","combined land-line and cell-phone eighth margin (telephone source)","1"
"_llcpm09","1437","3","numeric","0","child weighting variables","combined land-line and cell-phone ninth margin (regions)","1"
"_llcpm10","1440","3","numeric","0","child weighting variables","combined land-line and cell-phone tenth margin (regions-age)","1"
"_llcpm11","1443","3","numeric","0","child weighting variables","combined land-line and cell-phone eleventh margin (regions-gender)","1"
"_llcpm12","1446","3","numeric","0","child weighting variables","combined land-line and cell-phone twelfth margin (regions-race/ethnicity)","1"
"_llcpwt","1449","10","numeric","0","child weighting variables","final weight: land-line and cell-phone data","1"
"_ltasth1","1600","1","categorical","5","calculated variables","lifetime asthma calculated variable","0"
