Field Name, Offset, Size, Type, Levels, Survey SubSection, Description, Derived Field
"_age65yr","1973","1","categorical","5","calculated variables","reported age in two age groups calculated variable","0"
"_age80","1974","2","integer","","calculated variables","imputed age value collapsed above 80","0"
"_age_g","1976","1","categorical","8","calculated variables","imputed age in six groups","0"
"_ageg5yr","1971","2","categorical","16","calculated variables","reported age in five-year age categories calculated variable","0"
"_aidtst3","2154","1","categorical","6","calculated variables","ever been tested for hiv calculated variable","0"
"_asthms1","1902","1","categorical","6","calculated variables","computed asthma status","0"
"_bmi5","1988","4","integer","","calculated variables","computed body mass index","0"
"_bmi5cat","1992","1","categorical","7","calculated variables","computed body mass index categories","0"
"_casthm1","1901","1","categorical","5","calculated variables","current asthma calculated variable","0"
"_chispnc","1478","1","categorical","6","child demographic variables","child hispanic, latino/a, or spanish origin calculated variable","0"
"_chldcnt","1994","1","categorical","9","calculated variables","computed number of children in household","0"
"_cholchk","1897","1","categorical","6","calculated variables","cholesterol checked calculated variable","0"
"_cllcpwt","1580","10","numeric","0","child demographic variables","final child weight: land-line and cell-phone data","1"
"_cprace","1537","2","categorical","13","child demographic variables","preferred child race categories","0"
"_crace1","1535","2","categorical","12","child demographic variables","child non-hispanic race including multiracial","0"
"_drdxar1","1903","1","categorical","5","calculated variables","respondents diagnosed with arthritis","0"
"_drnkwek","2004","5","integer","","calculated variables","computed number of drinks of alcohol beverages per week","0"
"_dualcor","1678","10","numeric","0","child demographic variables","dual phone use correction factor","1"
"_dualuse","1677","1","categorical","8","child demographic variables","dual phone use categories","0"
"_educag","1995","1","categorical","7","calculated variables","computed level of education completed categories","0"
"_flshot6","2152","1","categorical","6","calculated variables","flu shot calculated variable","0"
"_frt16","2052","1","categorical","5","calculated variables","reported consuming fruit >16/day","0"
"_frtlt1","2050","1","categorical","5","calculated variables","consume fruit 1 or more times per day","0"
"_frtresp","2036","1","categorical","5","calculated variables","missing any fruit responses","0"
"_fruitex","2054","1","categorical","6","calculated variables","fruit exclusion from analyses","0"
"_frutsum","2038","6","numeric","0","calculated variables","total fruits consumed per day","1"
"_hcvu651","1895","1","categorical","5","calculated variables","respondents aged 18-64 with health care coverage","0"
"_hispanc","1966","1","categorical","6","calculated variables","hispanic, latino/a, or spanish origin calculated variable","0"
"_incomg","1996","1","categorical","8","calculated variables","computed income categories","0"
"_llcpwt","1746","10","numeric","0","child demographic variables","final weight: land-line and cell-phone data","1"
"_lmtact1","2147","1","categorical","7","calculated variables","limited usual activities","0"
"_lmtscl1","2149","1","categorical","8","calculated variables","limited social activities","0"
"_lmtwrk1","2148","1","categorical","7","calculated variables","limited work activities","0"
"_ltasth1","1900","1","categorical","5","calculated variables","lifetime asthma calculated variable","0"
"_michd","1899","1","categorical","5","calculated variables","respondents that have ever reported having coronary heart disease (chd) or myocardial infarction (mi)","0"
"_minac11","2093","5","numeric","0","calculated variables","minutes of physical activity per week for first activity","1"
"_minac21","2098","5","numeric","0","calculated variables","minutes of physical activity per week for second activity","1"
"_misfrtn","2034","1","integer","","calculated variables","the number of missing fruit responses","0"
"_misvegn","2035","1","integer","","calculated variables","the number of missing vegetable responses","0"
"_mrace1","1962","2","categorical","12","calculated variables","calculated non-hispanic race including multiracial","0"
"_pa150r2","2141","1","categorical","6","calculated variables","150 minute physical activity calculated variable","0"
"_pa30021","2143","1","categorical","5","calculated variables","300 minute physical activity 2-level calculated variable","0"
"_pa300r2","2142","1","categorical","6","calculated variables","300 minute physical activity calculated variable","0"
"_pacat1","2139","1","categorical","7","calculated variables","physical activity categories","0"
"_paindx1","2140","1","categorical","5","calculated variables","physical activity index","0"
"_parec1","2145","1","categorical","7","calculated variables","aerobic and strengthening guideline","0"
"_pastae1","2146","1","categorical","5","calculated variables","aerobic and strengthening (2-level)","0"
"_pastrng","2144","1","categorical","5","calculated variables","muscle strengthening recommendation","0"
"_pneumo2","2153","1","categorical","6","calculated variables","pneumonia vaccination calculated variable","0"
"_prace1","1960","2","categorical","13","calculated variables","computed preferred race","0"
"_psu","36","10","numeric","0","record identification","primary sampling unit","1"
"_race","1967","1","categorical","12","calculated variables","computed race-ethnicity grouping","0"
"_race_g1","1970","1","categorical","8","calculated variables","computed race groups used for internet prevalence tables","0"
"_raceg21","1968","1","categorical","6","calculated variables","computed non-hispanic whites/all others race categories race/ethnic group codes used in post-stratification.","0"
"_racegr3","1969","1","categorical","9","calculated variables","computed five level race/ethnicity category.","0"
"_rawrake","1443","10","numeric","0","questionnaire language","raw weighting factor used in raking","1"
"_rfbing5","2003","1","categorical","5","calculated variables","binge drinking calculated variable","0"
"_rfbmi5","1993","1","categorical","5","calculated variables","overweight or obese calculated variable","0"
"_rfchol","1898","1","categorical","6","calculated variables","high cholesterol calculated variable","0"
"_rfdrhv5","2009","1","categorical","5","calculated variables","heavy alcohol consumption  calculated variable","0"
"_rfhlth","1894","1","categorical","5","calculated variables","adults with good or better health","0"
"_rfhype5","1896","1","categorical","5","calculated variables","high blood pressure calculated variable","0"
"_rfseat2","2150","1","categorical","6","calculated variables","always or nearly always wear seat belts","0"
"_rfseat3","2151","1","categorical","6","calculated variables","always wear seat belts","0"
"_rfsmok3","1998","1","categorical","5","calculated variables","current smoking calculated variable","0"
"_smoker3","1997","1","categorical","7","calculated variables","computed smoking status","0"
"_state","1","2","categorical","56","record identification","state fips code","0"
"_strwt","1413","10","numeric","0","questionnaire language","stratum weight","1"
"_ststr","1407","6","numeric","0","questionnaire language","sample design stratification variable","1"
"_totinda","2058","1","categorical","5","calculated variables","leisure time physical activity calculated variable","0"
"_veg23","2053","1","categorical","5","calculated variables","reported consuming vegetables >23/day","0"
"_vegesum","2044","6","numeric","0","calculated variables","total vegetables consumed per day","1"
"_vegetex","2055","1","categorical","6","calculated variables","vegetable exclusion from analyses","0"
"_veglt1","2051","1","categorical","5","calculated variables","consume vegetables 1 or more times per day","0"
"_vegresp","2037","1","categorical","5","calculated variables","missing any vegetable responses","0"
"_wt2rake","1453","10","numeric","0","questionnaire language","design weight used in raking","1"
"actin11_","2075","1","numeric","0","calculated variables","estimated activity intensity for first activity","1"
"actin21_","2076","1","numeric","0","calculated variables","estimated activity intensity for second activity","1"
"adanxev","677","1","categorical","7","module 25: anxiety and depression","ever told you had an anxiety disorder","0"
"addepev2","115","1","categorical","7","chronic health conditions","ever told you had a depressive disorder","0"
"addown","662","2","integer","","module 25: anxiety and depression","days felt down, depressed or hopeless","0"
"adeat1","668","2","integer","","module 25: anxiety and depression","days ate too little or too much","0"
"adenergy","666","2","integer","","module 25: anxiety and depression","days were tired or had little energy","0"
"adfail","670","2","integer","","module 25: anxiety and depression","days felt like failure or let family down","0"
"admove","674","2","integer","","module 25: anxiety and depression","days talked to move slower or faster than usual","0"
"adpleasr","660","2","integer","","module 25: anxiety and depression","days had little pleasure doing things","0"
"adsleep","664","2","integer","","module 25: anxiety and depression","days had trouble with sleep","0"
"adthink","672","2","integer","","module 25: anxiety and depression","days had trouble concentrating","0"
"alcday5","200","3","integer","","alcohol consumption","days in past 30 had alcoholic beverage","0"
"arthdis2","248","1","categorical","7","arthritis burden","does arthritis affect whether you work","0"
"arthedu","371","1","categorical","7","module 10: arthritis management","ever taken class in managing arthritis or joint symptoms","0"
