Field Name, Offset, Size, Type, Levels, Survey SubSection, Description, Derived Field
"_age65yr","1520","1","categorical","5","calculated race variables","reported age in two age groups calculated variable","0"
"_age_g","1521","1","categorical","8","calculated race variables","imputed age in six groups","0"
"_ageg5yr","1518","2","categorical","16","calculated race variables","reported age in five-year age categories calculated variable","0"
"_aidtst3","1695","1","categorical","6","calculated variables","ever been tested for hiv calculated variable","0"
"_asthms1","1492","1","categorical","6","calculated variables","computed asthma status","0"
"_bmi5","1533","4","integer","","calculated race variables","computed body mass index","0"
"_bmi5cat","1537","1","categorical","7","calculated race variables","computed body mass index categories","0"
"_casthm1","1491","1","categorical","5","calculated variables","current asthma calculated variable","0"
"_chldcnt","1539","1","categorical","9","calculated race variables","computed number of children in household","0"
"_cholchk","1488","1","categorical","6","calculated variables","cholesterol checked calculated variable","0"
"_clcpm01","1363","3","numeric","0","child weighting variables","child combined land-line and cell-phone first margin (age-gender)","1"
"_clcpm02","1366","3","numeric","0","child weighting variables","child combined land-line and cell-phone second margin (race/ethnicity)","1"
"_clcpm03","1369","3","numeric","0","child weighting variables","child combined land-line and cell-phone third margin (gender-race/ethnicity)","1"
"_clcpm04","1372","3","numeric","0","child weighting variables","child combined land-line and cell-phone fourth margin (age-race/ethnicity)","1"
"_clcpm05","1375","3","numeric","0","child weighting variables","child combined land-line and cell-phone fifth margin (telephone source)","1"
"_cllcpwt","1378","10","numeric","0","child weighting variables","final child weight: land-line and cell-phone data","1"
"_cnrace","1516","1","categorical","8","calculated race variables","computed number of census race categories chosen","0"
"_cnracec","1517","1","categorical","6","calculated race variables","computed number of census race categories chosen, collapsed","0"
"_denstr2","5","1","categorical","6","record identification","household density stratum code","0"
"_drdxar1","1493","1","categorical","5","calculated variables","respondents diagnosed with arthritis","0"
"_drnkdy4","1684","4","integer","","calculated variables","computed number of drinks of alcohol beverages per day","0"
"_drnkmo4","1688","4","integer","","calculated variables","computed total number drinks a month","0"
"_educag","1540","1","categorical","7","calculated race variables","computed level of education completed categories","0"
"_flshot5","1677","1","categorical","6","calculated variables","flu shot calculated variable","0"
"_frt16","1582","1","categorical","5","calculated variables","reported consuming fruit >16/day","0"
"_frtresp","1568","1","categorical","5","calculated variables","missing any fruit responses","0"
"_fruitex","1584","1","categorical","6","calculated variables","fruit exclusion from analyses","0"
"_frutsum","1570","6","numeric","0","calculated variables","total fruits consumed per day","1"
"_geostr","3","2","numeric","0","record identification","geographic stratum code","1"
"_hcvu651","1486","1","categorical","5","calculated variables","respondents aged 18-64 with health care coverage","0"
"_impage","1053","2","integer","","questionnaire language","age value used to determine age groups","0"
"_impnph","1057","1","categorical","10","questionnaire language","imputed number of phones","0"
"_imprace","1055","2","categorical","9","questionnaire language","imputed race/ethnicity value","0"
"_incomg","1541","1","categorical","8","calculated race variables","computed income categories","0"
"_llcpm01","1439","3","numeric","0","weighting variables","combined land-line and cell-phone first margin (age-gender)","1"
"_llcpm02","1442","3","numeric","0","weighting variables","combined land-line and cell-phone second margin (race/ethnicity)","1"
"_llcpm03","1445","3","numeric","0","weighting variables","combined land-line and cell-phone third margin (education)","1"
"_llcpm04","1448","3","numeric","0","weighting variables","combined land-line and cell-phone fourth margin (marital status)","1"
"_llcpm05","1451","3","numeric","0","weighting variables","combined land-line and cell-phone fifth margin (home ownership)","1"
"_llcpm06","1454","3","numeric","0","weighting variables","combined land-line and cell-phone sixth margin (gender-race/ethnicity)","1"
"_llcpm07","1457","3","numeric","0","weighting variables","combined land-line and cell-phone seventh margin (age-race/ethnicity)","1"
"_llcpm08","1460","3","numeric","0","weighting variables","combined land-line and cell-phone eighth margin (telephone source)","1"
"_llcpm09","1463","3","numeric","0","weighting variables","combined land-line and cell-phone ninth margin (regions)","1"
"_llcpm10","1466","3","numeric","0","weighting variables","combined land-line and cell-phone tenth margin (regions-age)","1"
"_llcpm11","1469","3","numeric","0","weighting variables","combined land-line and cell-phone eleventh margin (regions-gender)","1"
"_llcpm12","1472","3","numeric","0","weighting variables","combined land-line and cell-phone twelfth margin (regions-race/ethnicity)","1"
"_llcpwt","1475","10","numeric","0","weighting variables","final weight: land-line and cell-phone data","1"
"_ltasth1","1490","1","categorical","5","calculated variables","lifetime asthma calculated variable","0"
"_minact1","1621","5","numeric","0","calculated variables","minutes of physical activity per week for first activity","1"
"_minact2","1626","5","numeric","0","calculated variables","minutes of physical activity per week for second activity","1"
"_misfrtn","1566","1","integer","","calculated variables","the number of missing fruit responses","0"
"_misvegn","1567","1","integer","","calculated variables","the number of missing vegetable responses","0"
"_mrace","1510","2","categorical","12","calculated race variables","computed non-hispanic race including multiracial","0"
"_pa150r1","1669","1","categorical","6","calculated variables","150 minute physical activity calculated variable","0"
"_pa3002l","1671","1","categorical","5","calculated variables","300 minute physical activity 2-level calculated variable","0"
"_pa300r1","1670","1","categorical","6","calculated variables","300 minute physical activity calculated variable","0"
